year,tournament,player,position,market_value_m,club
2006,World Cup,Antonio Cassano,,25.0,
2021,Euro,Bryan Cristante,,25.0,
2021,Euro,Domenico Berardi,,24.0,
2024,Euro,Domenico Berardi,,23.0,
2024,Euro,Ciro Immobile,,23.0,
2021,Euro,Alessandro Bastoni,,23.0,
2016,Euro,Antonio Candreva,,23.0,
2024,Euro,Mattia Zaccagni,,22.0,
2006,World Cup,Alessandro Del Piero,,22.0,
2024,Euro,Davide Frattesi,,22.0,
2022,World Cup (Qualifier),Giovanni Di Lorenzo,DF,22.0,Napoli
2024,Euro,Destiny Udogie,,22.0,
2016,Euro,Salvatore Sirigu,,21.5,
2021,Euro,Alessandro Florenzi,,20.0,
2024,Euro,Moise Kean,,20.0,
2021,Euro,Alessio Cragno,,20.0,
2024,Euro,Matteo Politano,,20.0,
2006,World Cup,Andrea Pirlo,,20.0,
2018,World Cup (Qualifier),Stephan El Shaarawy,FW,20.0,Roma
2006,World Cup,Alberto Gilardino,,20.0,
2021,Euro,Riccardo Orsolini,,20.0,
2022,World Cup (Qualifier),Alex Meret,GK,20.0,Napoli
2024,Euro,Giorgio Scalvini,,20.0,
2012,Euro,Giuseppe Rossi,,20.0,
2024,Euro,Bryan Cristante,,20.0,
2014,World Cup,Sebastian Giovinco,,19.0,
2012,Euro,Alberto Gilardino,,19.0,
2016,Euro,Giorgio Chiellini,,19.0,
2010,World Cup,Gennaro Gattuso,,19.0,
2012,Euro,Giampaolo Pazzini,,19.0,
2010,World Cup,Giorgio Chiellini,,18.5,
2012,Euro,Antonio Cassano,,18.5,
2012,Euro,Riccardo Montolivo,,18.5,
2016,Euro,Daniele De Rossi,,18.0,
2021,Euro,Manuel Lazzari,,18.0,
2021,Euro,Giacomo Bonaventura,,18.0,
2016,Euro,Alessio Cerci,,18.0,
2022,World Cup (Qualifier),Bryan Cristante,MF,18.0,Roma
2021,Euro,Leonardo Spinazzola,,18.0,
2016,Euro,Ciro Immobile,,18.0,
2016,Euro,Stephan El Shaarawy,,18.0,
2016,Euro,Leonardo Bonucci,,18.0,
2024,Euro,Alessio Romagnoli,,18.0,
2008,Euro,Mauro Camoranesi,,18.0,
2024,Euro,Gianluca Mancini,,18.0,
2010,World Cup,Alberto Aquilani,,18.0,
2008,Euro,Daniele De Rossi,,18.0,
2006,World Cup,Christian Vieri,,18.0,
2012,Euro,Marco Borriello,,17.0,
2012,Euro,Claudio Marchisio,,17.0,
2008,Euro,Gennaro Gattuso,,17.0,
2018,World Cup (Qualifier),Mattia Perin,GK,16.0,Genoa
2012,Euro,Thiago Motta,,16.0,
2012,Euro,Andrea Pirlo,,16.0,
2008,Euro,Alessandro Del Piero,,16.0,
2014,World Cup,Gianluigi Buffon,,16.0,
2014,World Cup,Stephan El Shaarawy,,16.0,
2021,Euro,Stephan El Shaarawy,,16.0,
2010,World Cup,Riccardo Montolivo,,15.5,
2021,Euro,Luca Pellegrini,,15.0,
2010,World Cup,Mauro Camoranesi,,15.0,
2014,World Cup,Leonardo Bonucci,,15.0,
2024,Euro,Leonardo Spinazzola,,15.0,
2024,Euro,Manuel Lazzari,,15.0,
2021,Euro,Davide Calabria,,15.0,
2014,World Cup,Domenico Criscito,,15.0,
2016,Euro,Lorenzo Insigne,,15.0,
2014,World Cup,Daniel Osvaldo,,15.0,
2021,Euro,Giovanni Di Lorenzo,,15.0,
2021,Euro,Francesco Acerbi,,15.0,
2010,World Cup,Giuseppe Rossi,,15.0,
2006,World Cup,Luca Toni,,15.0,
2021,Euro,Roberto Gagliardini,,15.0,
2010,World Cup,Antonio Di Natale,,15.0,
2008,Euro,Cristiano Lucarelli,,14.5,
2008,Euro,Fabio Cannavaro,,14.0,
2014,World Cup,Ignazio Abate,,14.0,
2024,Euro,Matteo Pessina,,14.0,
2010,World Cup,Fabio Quagliarella,,14.0,
2014,World Cup,Thiago Motta,,14.0,
2018,World Cup (Qualifier),Antonio Candreva,MF,14.0,Inter Milan
2018,World Cup (Qualifier),Mattia De Sciglio,DF,14.0,Juventus
2016,Euro,Riccardo Montolivo,,14.0,
2010,World Cup,Gianluca Zambrotta,,14.0,
2010,World Cup,Simone Perrotta,,14.0,
2016,Euro,Alessandro Florenzi,,14.0,
2016,Euro,Mattia Perin,,14.0,
2006,World Cup,Daniele De Rossi,,14.0,
2008,Euro,Simone Perrotta,,13.5,
2016,Euro,Andrea Ranocchia,,13.5,
2014,World Cup,Andrea Ranocchia,,13.5,
2014,World Cup,Salvatore Sirigu,,13.0,
2010,World Cup,Alberto Gilardino,,13.0,
2010,World Cup,Vincenzo Iaquinta,,13.0,
2014,World Cup,Riccardo Montolivo,,13.0,
2012,Euro,Leonardo Bonucci,,13.0,
2022,World Cup (Qualifier),Leonardo Bonucci,DF,13.0,Juventus
2021,Euro,Manuel Locatelli,,13.0,
2024,Euro,Alex Meret,,13.0,
2012,Euro,Alberto Aquilani,,13.0,
2021,Euro,Danilo D'Ambrosio,,13.0,
2022,World Cup (Qualifier),Francesco Acerbi,DF,13.0,Lazio
2014,World Cup,Andrea Pirlo,,12.5,
2012,Euro,Angelo Palombo,,12.5,
2014,World Cup,Andrea Barzagli,,12.5,
2010,World Cup,Alessandro Gamberini,,12.5,
2021,Euro,Cristiano Biraghi,,12.0,
2022,World Cup (Qualifier),Alessandro Florenzi,DF,12.0,AC Milan
2006,World Cup,Mauro Camoranesi,,12.0,
2024,Euro,Vincenzo Grifo,,12.0,
2006,World Cup,Fabio Cannavaro,,12.0,
2014,World Cup,Christian Maggio,,12.0,
2021,Euro,Gian Marco Ferrari,,12.0,
2024,Euro,Guglielmo Vicario,,12.0,
2016,Euro,Manolo Gabbiadini,,12.0,
2024,Euro,Emerson,,12.0,
2012,Euro,Christian Maggio,,11.5,
2006,World Cup,Daniele Bonera,,11.0,
2012,Euro,Alessandro Gamberini,,11.0,
2008,Euro,Marco Amelia,,11.0,
2008,Euro,Vincenzo Iaquinta,,11.0,
2014,World Cup,Angelo Ogbonna,,11.0,
2016,Euro,Simone Zaza,,11.0,
2014,World Cup,Marco Verratti,,11.0,
2010,World Cup,Marco Amelia,,10.5,
2016,Euro,Ignazio Abate,,10.0,
2006,World Cup,Simone Barone,,10.0,
2024,Euro,Wilfried Gnonto,,10.0,
2008,Euro,Massimo Oddo,,10.0,
2016,Euro,Davide Astori,,10.0,
2014,World Cup,Giuseppe Rossi,,10.0,
2016,Euro,Domenico Criscito,,10.0,
2016,Euro,Mattia De Sciglio,,10.0,
2012,Euro,Domenico Criscito,,10.0,
2010,World Cup,Angelo Palombo,,10.0,
2012,Euro,Andrea Ranocchia,,10.0,
2016,Euro,Giacomo Bonaventura,,10.0,
2014,World Cup,Antonio Nocerino,,10.0,
2010,World Cup,Fabio Cannavaro,,10.0,
2016,Euro,Sebastian Giovinco,,10.0,
2018,World Cup (Qualifier),Giorgio Chiellini,DF,10.0,Juventus
2018,World Cup (Qualifier),Matteo Darmian,DF,10.0,Manchester Utd
2008,Euro,Andrea Barzagli,,10.0,
2012,Euro,Davide Santon,,10.0,
2014,World Cup,Davide Astori,,10.0,
2010,World Cup,Giampaolo Pazzini,,10.0,
2010,World Cup,Christian Maggio,,9.5,
2024,Euro,Nicolò Casale,,9.0,
2014,World Cup,Alberto Aquilani,,9.0,
2012,Euro,Simone Pepe,,9.0,
2016,Euro,Federico Marchetti,,9.0,
2008,Euro,Filippo Inzaghi,,9.0,
2012,Euro,Antonio Nocerino,,8.5,
2010,World Cup,Fabio Grosso,,8.5,
2014,World Cup,Federico Balzaretti,,8.5,
2012,Euro,Andrea Barzagli,,8.5,
2021,Euro,Salvatore Sirigu,,8.0,
2010,World Cup,Andrea Dossena,,8.0,
2021,Euro,Roberto Soriano,,8.0,
2016,Euro,Éder,,8.0,
2016,Euro,Graziano Pellè,,8.0,
2012,Euro,Salvatore Sirigu,,8.0,
2014,World Cup,Emanuele Giaccherini,,8.0,
2014,World Cup,Davide Santon,,8.0,
2024,Euro,Rafael Tolói,,8.0,
2016,Euro,Matteo Darmian,,8.0,
2024,Euro,Marco Carnesecchi,,8.0,
2006,World Cup,Vincenzo Montella,,8.0,
2024,Euro,Mateo Retegui,,8.0,
2012,Euro,Alessandro Matri,,8.0,
2016,Euro,Davide Santon,,8.0,
2006,World Cup,Cristian Zaccardo,,8.0,
2021,Euro,Angelo Ogbonna,,8.0,
2022,World Cup (Qualifier),Gianluca Scamacca,FW,8.0,Sassuolo
2008,Euro,Cristian Zaccardo,,8.0,
2024,Euro,Riccardo Orsolini,,7.5,
2014,World Cup,Federico Marchetti,,7.5,
2008,Euro,Giorgio Chiellini,,7.5,
2014,World Cup,Andrea Poli,,7.5,
2008,Euro,Aimo Diana,,7.5,
2014,World Cup,Lorenzo Insigne,,7.5,
2016,Euro,Nicola Sansone,,7.0,
2021,Euro,Vincenzo Grifo,,7.0,
2016,Euro,Andrea Barzagli,,7.0,
2010,World Cup,Daniele Bonera,,7.0,
2012,Euro,Sebastian Giovinco,,7.0,
2016,Euro,Luca Antonelli,,7.0,
2006,World Cup,Andrea Barzagli,,7.0,
2014,World Cup,Alberto Gilardino,,7.0,
2008,Euro,Tommaso Rocchi,,7.0,
2024,Euro,Ivan Provedel,,7.0,
2008,Euro,Marco Materazzi,,7.0,
2021,Euro,Francesco Caputo,,7.0,
2021,Euro,Pietro Pellegri,,7.0,
2012,Euro,Emiliano Viviano,,7.0,
2021,Euro,Kevin Lasagna,,7.0,
2010,World Cup,Gaetano D'Agostino,,7.0,
2016,Euro,Emanuele Giaccherini,,7.0,
2010,World Cup,Raffaele Palladino,,7.0,
2018,World Cup (Qualifier),Eder,FW,7.0,Inter Milan
2010,World Cup,Pasquale Foggia,,7.0,
2008,Euro,Fabio Grosso,,7.0,
2008,Euro,Massimo Ambrosini,,6.5,
2012,Euro,Mattia Cassani,,6.5,
2008,Euro,Manuel Pasqual,,6.5,
2008,Euro,Antonio Di Natale,,6.5,
2024,Euro,Andrea Cambiaso,,6.5,
2010,World Cup,Nicola Legrottaglie,,6.5,
2024,Euro,Cristiano Biraghi,,6.5,
2014,World Cup,Antonio Candreva,,6.5,
2014,World Cup,Alessio Cerci,,6.5,
2016,Euro,Marco Parolo,,6.5,
2014,World Cup,Alessandro Diamanti,,6.5,
2016,Euro,Alessandro Matri,,6.0,
2010,World Cup,Simone Pepe,,6.0,
2012,Euro,Ignazio Abate,,6.0,
2014,World Cup,Michael Agazzi,,6.0,
2008,Euro,Daniele Bonera,,6.0,
2006,World Cup,Manuele Blasi,,6.0,
2008,Euro,Franco Semioli,,6.0,
2006,World Cup,Massimo Oddo,,6.0,
2016,Euro,Fabio Quagliarella,,6.0,
2010,World Cup,Matteo Brighi,,5.0,
2021,Euro,Giorgio Chiellini,,5.0,
2024,Euro,Federico Gatti,,5.0,
2016,Euro,Andrea Pirlo,,5.0,
2024,Euro,Stephan El Shaarawy,,5.0,
2006,World Cup,Fabio Grosso,,5.0,
2006,World Cup,Marco Materazzi,,5.0,
2008,Euro,Alberto Aquilani,,5.0,
2016,Euro,Roberto Soriano,,5.0,
2010,World Cup,Marco Marchionni,,5.0,
2014,World Cup,Luca Antonelli,,5.0,
2024,Euro,Alessandro Buongiorno,,5.0,
2010,World Cup,Sergio Pellissier,,5.0,
2012,Euro,Daniel Osvaldo,,5.0,
2018,World Cup (Qualifier),Marco Parolo,MF,5.0,Lazio
2012,Euro,Luca Cigarini,,5.0,
2016,Euro,Stefano Okaka,,4.8,
2008,Euro,Christian Abbiati,,4.5,
2014,World Cup,Federico Peluso,,4.5,
2008,Euro,Giandomenico Mesto,,4.5,
2008,Euro,Riccardo Montolivo,,4.5,
2014,World Cup,Marco Parolo,,4.5,
2008,Euro,Angelo Palombo,,4.5,
2012,Euro,Daniele Gastaldello,,4.5,
2012,Euro,Davide Astori,,4.5,
2010,World Cup,Domenico Criscito,,4.5,
2014,World Cup,Manolo Gabbiadini,,4.5,
2010,World Cup,Giuseppe Mascara,,4.5,
2010,World Cup,Morgan De Sanctis,,4.4,
2008,Euro,Raffaele Palladino,,4.2,
2024,Euro,Matteo Darmian,,4.0,
2008,Euro,Christian Panucci,,4.0,
2022,World Cup (Qualifier),Giacomo Raspadori,FW,4.0,Sassuolo
2021,Euro,Stefano Okaka,,4.0,
2006,World Cup,Angelo Peruzzi,,4.0,
2012,Euro,Stefano Mauri,,4.0,
2014,World Cup,Lorenzo De Silvestri,,4.0,
2014,World Cup,Morgan De Sanctis,,4.0,
2010,World Cup,Daniele Galloppa,,4.0,
2016,Euro,Lorenzo De Silvestri,,4.0,
2012,Euro,Morgan De Sanctis,,4.0,
2012,Euro,Federico Balzaretti,,4.0,
2024,Euro,Leonardo Bonucci,,4.0,
2024,Euro,Francesco Acerbi,,4.0,
2014,World Cup,Alessandro Florenzi,,4.0,
2006,World Cup,Cristiano Lucarelli,,3.5,
2024,Euro,Wladimiro Falcone,,3.5,
2018,World Cup (Qualifier),Daniele De Rossi,MF,3.5,Roma
2014,World Cup,Mattia De Sciglio,,3.5,
2006,World Cup,Dario Dainelli,,3.5,
2010,World Cup,Mattia Cassani,,3.2,
2006,World Cup,Christian Abbiati,,3.0,
2021,Euro,Matteo Pessina,,3.0,
2016,Euro,Manuel Pasqual,,3.0,
2016,Euro,Andrea Bertolacci,,3.0,
2014,World Cup,Giacomo Bonaventura,,3.0,
2008,Euro,Stefano Mauri,,3.0,
2016,Euro,Gianluigi Buffon,,3.0,
2021,Euro,Marco Silvestri,,3.0,
2014,World Cup,Daniele Gastaldello,,3.0,
2022,World Cup (Qualifier),Salvatore Sirigu,GK,3.0,Genoa
2006,World Cup,Marco Amelia,,3.0,
2008,Euro,Alessandro Gamberini,,2.5,
2014,World Cup,Manuel Pasqual,,2.5,
2010,World Cup,Claudio Marchisio,,2.5,
2024,Euro,Giacomo Bonaventura,,2.5,
2008,Euro,Pasquale Foggia,,2.5,
2006,World Cup,Giuseppe Pancaro,,2.5,
2006,World Cup,Roberto Baronio,,2.5,
2008,Euro,Gianluca Curci,,2.5,
2010,World Cup,Marco Motta,,2.3,
2006,World Cup,Mauro Esposito,,2.0,
2016,Euro,Mirko Valdifiori,,2.0,
2016,Euro,Franco Vázquez,,2.0,
2016,Euro,Daniele Padelli,,2.0,
2018,World Cup (Qualifier),Gianluigi Buffon,GK,2.0,Juventus
2022,World Cup (Qualifier),Giorgio Chiellini,DF,2.0,Juventus
2006,World Cup,Flavio Roma,,2.0,
2014,World Cup,Marco Sau,,1.8,
2008,Euro,Fabio Quagliarella,,1.8,
2008,Euro,Max Tonetto,,1.7,
2008,Euro,Paolo Cannavaro,,1.5,
2006,World Cup,Vincenzo Iaquinta,,1.5,
2006,World Cup,Morgan De Sanctis,,1.5,
2008,Euro,Alessandro Rosina,,1.5,
2010,World Cup,Salvatore Bocchetti,,1.5,
2012,Euro,Angelo Ogbonna,,1.2,
2012,Euro,Marco Parolo,,1.2,
2016,Euro,Francesco Acerbi,,1.0,
2016,Euro,Emiliano Moretti,,1.0,
2010,World Cup,Federico Marchetti,,1.0,
2018,World Cup (Qualifier),Andrea Barzagli,DF,1.0,Juventus
2010,World Cup,Davide Biondini,,1.0,
2010,World Cup,Marco Biagianti,,0.85,
2006,World Cup,Giandomenico Mesto,,0.8,
2006,World Cup,Franco Brienza,,0.8,
2006,World Cup,Stefano Mauri,,0.75,
2006,World Cup,Giampiero Pinzi,,0.75,
2006,World Cup,Carmine Coppola,,0.7,
2006,World Cup,Aimo Diana,,0.6,
2010,World Cup,Antonio Candreva,,0.5,
2008,Euro,Antonio Nocerino,,0.5,
2008,Euro,Andrea Dossena,,0.4,
2006,World Cup,David Di Michele,,0.4,
2006,World Cup,Marco Cassetti,,0.35,
2010,World Cup,Andrea Esposito,,0.3,
2006,World Cup,Antonio Langella,,0.2,
2010,World Cup,Davide Santon,,0.1,
2006,World Cup,Gianluigi Buffon,,,
2006,World Cup,Giorgio Chiellini,,,
2018,World Cup (Qualifier),Salvatore Sirigu,GK,,Torino
2018,World Cup (Qualifier),Davide Astori,DF,,Fiorentina
2018,World Cup (Qualifier),Giacomo Bonaventura,MF,,AC Milan
2022,World Cup (Qualifier),Emerson Palmieri,DF,,Lyon
2022,World Cup (Qualifier),Joao Pedro,FW,,Cagliari
