year,tournament,player,position,market_value_m,value_rank,squad_size
2006,World Cup,Giorgio Chiellini,,,44,44
2008,Euro,Gianluigi Buffon,,30.0,1,45
2008,Euro,Alberto Gilardino,,27.0,2,45
2008,Euro,Luca Toni,,27.0,3,45
2008,Euro,Gianluca Zambrotta,,26.0,4,45
2008,Euro,Andrea Pirlo,,25.0,5,45
2008,Euro,Mauro Camoranesi,,18.0,6,45
2008,Euro,Daniele De Rossi,,18.0,7,45
2008,Euro,Gennaro Gattuso,,17.0,8,45
2008,Euro,Alessandro Del Piero,,16.0,9,45
2008,Euro,Cristiano Lucarelli,,14.5,10,45
2008,Euro,Fabio Cannavaro,,14.0,11,45
2008,Euro,Simone Perrotta,,13.5,12,45
2008,Euro,Marco Amelia,,11.0,13,45
2008,Euro,Vincenzo Iaquinta,,11.0,14,45
2008,Euro,Massimo Oddo,,10.0,15,45
2008,Euro,Andrea Barzagli,,10.0,16,45
2008,Euro,Filippo Inzaghi,,9.0,17,45
2008,Euro,Cristian Zaccardo,,8.0,18,45
2008,Euro,Giorgio Chiellini,,7.5,19,45
2008,Euro,Aimo Diana,,7.5,20,45
2008,Euro,Tommaso Rocchi,,7.0,21,45
2008,Euro,Marco Materazzi,,7.0,22,45
2008,Euro,Fabio Grosso,,7.0,23,45
2008,Euro,Massimo Ambrosini,,6.5,24,45
2008,Euro,Manuel Pasqual,,6.5,25,45
2008,Euro,Antonio Di Natale,,6.5,26,45
2008,Euro,Daniele Bonera,,6.0,27,45
2008,Euro,Franco Semioli,,6.0,28,45
2008,Euro,Alberto Aquilani,,5.0,29,45
2008,Euro,Christian Abbiati,,4.5,30,45
2008,Euro,Giandomenico Mesto,,4.5,31,45
2008,Euro,Riccardo Montolivo,,4.5,32,45
2008,Euro,Angelo Palombo,,4.5,33,45
2008,Euro,Raffaele Palladino,,4.2,34,45
2008,Euro,Christian Panucci,,4.0,35,45
2008,Euro,Stefano Mauri,,3.0,36,45
2008,Euro,Alessandro Gamberini,,2.5,37,45
2008,Euro,Pasquale Foggia,,2.5,38,45
2008,Euro,Gianluca Curci,,2.5,39,45
2008,Euro,Fabio Quagliarella,,1.8,40,45
2008,Euro,Max Tonetto,,1.7,41,45
2008,Euro,Paolo Cannavaro,,1.5,42,45
2008,Euro,Alessandro Rosina,,1.5,43,45
2008,Euro,Antonio Nocerino,,0.5,44,45
2008,Euro,Andrea Dossena,,0.4,45,45
2010,World Cup,Andrea Pirlo,,36.0,1,47
2010,World Cup,Daniele De Rossi,,35.0,2,47
2010,World Cup,Gianluigi Buffon,,32.0,3,47
2010,World Cup,Luca Toni,,28.5,4,47
2010,World Cup,Gennaro Gattuso,,19.0,5,47
2010,World Cup,Giorgio Chiellini,,18.5,6,47
2010,World Cup,Alberto Aquilani,,18.0,7,47
2010,World Cup,Riccardo Montolivo,,15.5,8,47
2010,World Cup,Mauro Camoranesi,,15.0,9,47
2010,World Cup,Giuseppe Rossi,,15.0,10,47
2010,World Cup,Antonio Di Natale,,15.0,11,47
2010,World Cup,Fabio Quagliarella,,14.0,12,47
2010,World Cup,Gianluca Zambrotta,,14.0,13,47
2010,World Cup,Simone Perrotta,,14.0,14,47
2010,World Cup,Alberto Gilardino,,13.0,15,47
2010,World Cup,Vincenzo Iaquinta,,13.0,16,47
2010,World Cup,Alessandro Gamberini,,12.5,17,47
2010,World Cup,Marco Amelia,,10.5,18,47
2010,World Cup,Angelo Palombo,,10.0,19,47
2010,World Cup,Fabio Cannavaro,,10.0,20,47
2010,World Cup,Giampaolo Pazzini,,10.0,21,47
2010,World Cup,Christian Maggio,,9.5,22,47
2010,World Cup,Fabio Grosso,,8.5,23,47
2010,World Cup,Andrea Dossena,,8.0,24,47
2010,World Cup,Daniele Bonera,,7.0,25,47
2010,World Cup,Gaetano D'Agostino,,7.0,26,47
2010,World Cup,Raffaele Palladino,,7.0,27,47
2010,World Cup,Pasquale Foggia,,7.0,28,47
2010,World Cup,Nicola Legrottaglie,,6.5,29,47
2010,World Cup,Simone Pepe,,6.0,30,47
2010,World Cup,Matteo Brighi,,5.0,31,47
2010,World Cup,Marco Marchionni,,5.0,32,47
2010,World Cup,Sergio Pellissier,,5.0,33,47
2010,World Cup,Domenico Criscito,,4.5,34,47
2010,World Cup,Giuseppe Mascara,,4.5,35,47
2010,World Cup,Morgan De Sanctis,,4.4,36,47
2010,World Cup,Daniele Galloppa,,4.0,37,47
2010,World Cup,Mattia Cassani,,3.2,38,47
2010,World Cup,Claudio Marchisio,,2.5,39,47
2010,World Cup,Marco Motta,,2.3,40,47
2010,World Cup,Salvatore Bocchetti,,1.5,41,47
2010,World Cup,Federico Marchetti,,1.0,42,47
2010,World Cup,Davide Biondini,,1.0,43,47
2010,World Cup,Marco Biagianti,,0.85,44,47
2010,World Cup,Antonio Candreva,,0.5,45,47
2010,World Cup,Andrea Esposito,,0.3,46,47
2010,World Cup,Davide Santon,,0.1,47,47
2012,Euro,Daniele De Rossi,,38.0,1,39
2012,Euro,Gianluigi Buffon,,28.0,2,39
2012,Euro,Mario Balotelli,,26.0,3,39
2012,Euro,Giorgio Chiellini,,25.0,4,39
2012,Euro,Giuseppe Rossi,,20.0,5,39
2012,Euro,Alberto Gilardino,,19.0,6,39
2012,Euro,Giampaolo Pazzini,,19.0,7,39
2012,Euro,Antonio Cassano,,18.5,8,39
2012,Euro,Riccardo Montolivo,,18.5,9,39
2012,Euro,Marco Borriello,,17.0,10,39
2012,Euro,Claudio Marchisio,,17.0,11,39
2012,Euro,Thiago Motta,,16.0,12,39
2012,Euro,Andrea Pirlo,,16.0,13,39
2012,Euro,Leonardo Bonucci,,13.0,14,39
2012,Euro,Alberto Aquilani,,13.0,15,39
2012,Euro,Angelo Palombo,,12.5,16,39
2012,Euro,Christian Maggio,,11.5,17,39
2012,Euro,Alessandro Gamberini,,11.0,18,39
2012,Euro,Domenico Criscito,,10.0,19,39
2012,Euro,Andrea Ranocchia,,10.0,20,39
2012,Euro,Davide Santon,,10.0,21,39
2012,Euro,Simone Pepe,,9.0,22,39
2012,Euro,Antonio Nocerino,,8.5,23,39
2012,Euro,Andrea Barzagli,,8.5,24,39
2012,Euro,Salvatore Sirigu,,8.0,25,39
2012,Euro,Alessandro Matri,,8.0,26,39
2012,Euro,Sebastian Giovinco,,7.0,27,39
2012,Euro,Emiliano Viviano,,7.0,28,39
2012,Euro,Mattia Cassani,,6.5,29,39
2012,Euro,Ignazio Abate,,6.0,30,39
2012,Euro,Daniel Osvaldo,,5.0,31,39
2012,Euro,Luca Cigarini,,5.0,32,39
2012,Euro,Daniele Gastaldello,,4.5,33,39
2012,Euro,Davide Astori,,4.5,34,39
2012,Euro,Stefano Mauri,,4.0,35,39
2012,Euro,Morgan De Sanctis,,4.0,36,39
2012,Euro,Federico Balzaretti,,4.0,37,39
2012,Euro,Angelo Ogbonna,,1.2,38,39
2012,Euro,Marco Parolo,,1.2,39,39
2014,World Cup,Daniele De Rossi,,34.0,1,47
2014,World Cup,Mario Balotelli,,32.0,2,47
2014,World Cup,Giorgio Chiellini,,28.5,3,47
2014,World Cup,Claudio Marchisio,,28.0,4,47
2014,World Cup,Sebastian Giovinco,,19.0,5,47
2014,World Cup,Gianluigi Buffon,,16.0,6,47
2014,World Cup,Stephan El Shaarawy,,16.0,7,47
2014,World Cup,Leonardo Bonucci,,15.0,8,47
2014,World Cup,Domenico Criscito,,15.0,9,47
2014,World Cup,Daniel Osvaldo,,15.0,10,47
2014,World Cup,Ignazio Abate,,14.0,11,47
2014,World Cup,Thiago Motta,,14.0,12,47
2014,World Cup,Andrea Ranocchia,,13.5,13,47
2014,World Cup,Salvatore Sirigu,,13.0,14,47
2014,World Cup,Riccardo Montolivo,,13.0,15,47
2014,World Cup,Andrea Pirlo,,12.5,16,47
2014,World Cup,Andrea Barzagli,,12.5,17,47
2014,World Cup,Christian Maggio,,12.0,18,47
2014,World Cup,Angelo Ogbonna,,11.0,19,47
2014,World Cup,Marco Verratti,,11.0,20,47
2014,World Cup,Giuseppe Rossi,,10.0,21,47
2014,World Cup,Antonio Nocerino,,10.0,22,47
2014,World Cup,Davide Astori,,10.0,23,47
2014,World Cup,Alberto Aquilani,,9.0,24,47
2014,World Cup,Federico Balzaretti,,8.5,25,47
2014,World Cup,Emanuele Giaccherini,,8.0,26,47
2014,World Cup,Davide Santon,,8.0,27,47
2014,World Cup,Federico Marchetti,,7.5,28,47
2014,World Cup,Andrea Poli,,7.5,29,47
2014,World Cup,Lorenzo Insigne,,7.5,30,47
2014,World Cup,Alberto Gilardino,,7.0,31,47
2014,World Cup,Antonio Candreva,,6.5,32,47
2014,World Cup,Alessio Cerci,,6.5,33,47
2014,World Cup,Alessandro Diamanti,,6.5,34,47
2014,World Cup,Michael Agazzi,,6.0,35,47
2014,World Cup,Luca Antonelli,,5.0,36,47
2014,World Cup,Federico Peluso,,4.5,37,47
2014,World Cup,Marco Parolo,,4.5,38,47
2014,World Cup,Manolo Gabbiadini,,4.5,39,47
2014,World Cup,Lorenzo De Silvestri,,4.0,40,47
2014,World Cup,Morgan De Sanctis,,4.0,41,47
2014,World Cup,Alessandro Florenzi,,4.0,42,47
2014,World Cup,Mattia De Sciglio,,3.5,43,47
2014,World Cup,Giacomo Bonaventura,,3.0,44,47
2014,World Cup,Daniele Gastaldello,,3.0,45,47
2014,World Cup,Manuel Pasqual,,2.5,46,47
2014,World Cup,Marco Sau,,1.8,47,47
2016,Euro,Marco Verratti,,30.0,1,47
2016,Euro,Claudio Marchisio,,25.0,2,47
2016,Euro,Antonio Candreva,,23.0,3,47
2016,Euro,Salvatore Sirigu,,21.5,4,47
2016,Euro,Giorgio Chiellini,,19.0,5,47
2016,Euro,Daniele De Rossi,,18.0,6,47
2016,Euro,Alessio Cerci,,18.0,7,47
2016,Euro,Ciro Immobile,,18.0,8,47
2016,Euro,Stephan El Shaarawy,,18.0,9,47
2016,Euro,Leonardo Bonucci,,18.0,10,47
2016,Euro,Lorenzo Insigne,,15.0,11,47
2016,Euro,Riccardo Montolivo,,14.0,12,47
2016,Euro,Alessandro Florenzi,,14.0,13,47
2016,Euro,Mattia Perin,,14.0,14,47
2016,Euro,Andrea Ranocchia,,13.5,15,47
2016,Euro,Manolo Gabbiadini,,12.0,16,47
2016,Euro,Simone Zaza,,11.0,17,47
2016,Euro,Ignazio Abate,,10.0,18,47
2016,Euro,Davide Astori,,10.0,19,47
2016,Euro,Domenico Criscito,,10.0,20,47
2016,Euro,Mattia De Sciglio,,10.0,21,47
2016,Euro,Giacomo Bonaventura,,10.0,22,47
2016,Euro,Sebastian Giovinco,,10.0,23,47
2016,Euro,Federico Marchetti,,9.0,24,47
2016,Euro,Éder,,8.0,25,47
2016,Euro,Graziano Pellè,,8.0,26,47
2016,Euro,Matteo Darmian,,8.0,27,47
2016,Euro,Davide Santon,,8.0,28,47
2016,Euro,Nicola Sansone,,7.0,29,47
2016,Euro,Andrea Barzagli,,7.0,30,47
2016,Euro,Luca Antonelli,,7.0,31,47
2016,Euro,Emanuele Giaccherini,,7.0,32,47
2016,Euro,Marco Parolo,,6.5,33,47
2016,Euro,Alessandro Matri,,6.0,34,47
2016,Euro,Fabio Quagliarella,,6.0,35,47
2016,Euro,Andrea Pirlo,,5.0,36,47
2016,Euro,Roberto Soriano,,5.0,37,47
2016,Euro,Stefano Okaka,,4.8,38,47
2016,Euro,Lorenzo De Silvestri,,4.0,39,47
2016,Euro,Manuel Pasqual,,3.0,40,47
2016,Euro,Andrea Bertolacci,,3.0,41,47
2016,Euro,Gianluigi Buffon,,3.0,42,47
2016,Euro,Mirko Valdifiori,,2.0,43,47
2016,Euro,Franco Vázquez,,2.0,44,47
2016,Euro,Daniele Padelli,,2.0,45,47
2016,Euro,Francesco Acerbi,,1.0,46,47
2016,Euro,Emiliano Moretti,,1.0,47,47
2018,World Cup (Qualifier),Marco Verratti,MF,70.0,1,22
2018,World Cup (Qualifier),Lorenzo Insigne,FW,60.0,2,22
2018,World Cup (Qualifier),Ciro Immobile,FW,50.0,3,22
2018,World Cup (Qualifier),Federico Bernardeschi,MF,40.0,4,22
2018,World Cup (Qualifier),Andrea Belotti,FW,38.0,5,22
2018,World Cup (Qualifier),Leonardo Bonucci,DF,35.0,6,22
2018,World Cup (Qualifier),Alessandro Florenzi,DF,30.0,7,22
2018,World Cup (Qualifier),Lorenzo Pellegrini,MF,28.0,8,22
2018,World Cup (Qualifier),Stephan El Shaarawy,FW,20.0,9,22
2018,World Cup (Qualifier),Mattia Perin,GK,16.0,10,22
2018,World Cup (Qualifier),Antonio Candreva,MF,14.0,11,22
2018,World Cup (Qualifier),Mattia De Sciglio,DF,14.0,12,22
2018,World Cup (Qualifier),Giorgio Chiellini,DF,10.0,13,22
2018,World Cup (Qualifier),Matteo Darmian,DF,10.0,14,22
2018,World Cup (Qualifier),Eder,FW,7.0,15,22
2018,World Cup (Qualifier),Marco Parolo,MF,5.0,16,22
2018,World Cup (Qualifier),Daniele De Rossi,MF,3.5,17,22
2018,World Cup (Qualifier),Gianluigi Buffon,GK,2.0,18,22
2018,World Cup (Qualifier),Andrea Barzagli,DF,1.0,19,22
2018,World Cup (Qualifier),Salvatore Sirigu,GK,,20,22
2018,World Cup (Qualifier),Davide Astori,DF,,21,22
2018,World Cup (Qualifier),Giacomo Bonaventura,MF,,22,22
2021,Euro,Marco Verratti,,75.0,1,49
2021,Euro,Jorginho,,65.0,2,49
2021,Euro,Federico Chiesa,,60.0,3,49
2021,Euro,Lorenzo Insigne,,60.0,4,49
2021,Euro,Gianluigi Donnarumma,,55.0,5,49
2021,Euro,Nicolò Zaniolo,,50.0,6,49
2021,Euro,Alessio Romagnoli,,45.0,7,49
2021,Euro,Ciro Immobile,,45.0,8,49
2021,Euro,Nicolò Barella,,45.0,9,49
2021,Euro,Federico Bernardeschi,,40.0,10,49
2021,Euro,Andrea Belotti,,40.0,11,49
2021,Euro,Lorenzo Pellegrini,,40.0,12,49
2021,Euro,Alex Meret,,40.0,13,49
2021,Euro,Moise Kean,,32.0,14,49
2021,Euro,Emerson,,30.0,15,49
2021,Euro,Sandro Tonali,,30.0,16,49
2021,Euro,Stefano Sensi,,30.0,17,49
2021,Euro,Gianluca Mancini,,28.0,18,49
2021,Euro,Leonardo Bonucci,,25.0,19,49
2021,Euro,Bryan Cristante,,25.0,20,49
2021,Euro,Domenico Berardi,,24.0,21,49
2021,Euro,Alessandro Bastoni,,23.0,22,49
2021,Euro,Alessandro Florenzi,,20.0,23,49
2021,Euro,Alessio Cragno,,20.0,24,49
2021,Euro,Riccardo Orsolini,,20.0,25,49
2021,Euro,Manuel Lazzari,,18.0,26,49
2021,Euro,Giacomo Bonaventura,,18.0,27,49
2021,Euro,Leonardo Spinazzola,,18.0,28,49
2021,Euro,Stephan El Shaarawy,,16.0,29,49
2021,Euro,Luca Pellegrini,,15.0,30,49
2021,Euro,Davide Calabria,,15.0,31,49
2021,Euro,Giovanni Di Lorenzo,,15.0,32,49
2021,Euro,Francesco Acerbi,,15.0,33,49
2021,Euro,Roberto Gagliardini,,15.0,34,49
2021,Euro,Manuel Locatelli,,13.0,35,49
2021,Euro,Danilo D'Ambrosio,,13.0,36,49
2021,Euro,Cristiano Biraghi,,12.0,37,49
2021,Euro,Gian Marco Ferrari,,12.0,38,49
2021,Euro,Salvatore Sirigu,,8.0,39,49
2021,Euro,Roberto Soriano,,8.0,40,49
2021,Euro,Angelo Ogbonna,,8.0,41,49
2021,Euro,Vincenzo Grifo,,7.0,42,49
2021,Euro,Francesco Caputo,,7.0,43,49
2021,Euro,Pietro Pellegri,,7.0,44,49
2021,Euro,Kevin Lasagna,,7.0,45,49
2021,Euro,Giorgio Chiellini,,5.0,46,49
2021,Euro,Stefano Okaka,,4.0,47,49
2021,Euro,Matteo Pessina,,3.0,48,49
2021,Euro,Marco Silvestri,,3.0,49,49
2022,World Cup (Qualifier),Gianluigi Donnarumma,GK,60.0,1,24
2022,World Cup (Qualifier),Marco Verratti,MF,60.0,2,24
2022,World Cup (Qualifier),Nicolo Barella,MF,55.0,3,24
2022,World Cup (Qualifier),Alessandro Bastoni,DF,50.0,4,24
2022,World Cup (Qualifier),Jorginho,MF,50.0,5,24
2022,World Cup (Qualifier),Lorenzo Insigne,FW,48.0,6,24
2022,World Cup (Qualifier),Federico Chiesa,FW,48.0,7,24
2022,World Cup (Qualifier),Ciro Immobile,FW,45.0,8,24
2022,World Cup (Qualifier),Lorenzo Pellegrini,MF,37.0,9,24
2022,World Cup (Qualifier),Manuel Locatelli,MF,35.0,10,24
2022,World Cup (Qualifier),Sandro Tonali,MF,32.0,11,24
2022,World Cup (Qualifier),Domenico Berardi,FW,30.0,12,24
2022,World Cup (Qualifier),Giovanni Di Lorenzo,DF,22.0,13,24
2022,World Cup (Qualifier),Alex Meret,GK,20.0,14,24
2022,World Cup (Qualifier),Bryan Cristante,MF,18.0,15,24
2022,World Cup (Qualifier),Leonardo Bonucci,DF,13.0,16,24
2022,World Cup (Qualifier),Francesco Acerbi,DF,13.0,17,24
2022,World Cup (Qualifier),Alessandro Florenzi,DF,12.0,18,24
2022,World Cup (Qualifier),Gianluca Scamacca,FW,8.0,19,24
2022,World Cup (Qualifier),Giacomo Raspadori,FW,4.0,20,24
2022,World Cup (Qualifier),Salvatore Sirigu,GK,3.0,21,24
2022,World Cup (Qualifier),Giorgio Chiellini,DF,2.0,22,24
2022,World Cup (Qualifier),Emerson Palmieri,DF,,23,24
2022,World Cup (Qualifier),Joao Pedro,FW,,24,24
2024,Euro,Nicolò Barella,,70.0,1,49
2024,Euro,Federico Chiesa,,60.0,2,49
2024,Euro,Alessandro Bastoni,,55.0,3,49
2024,Euro,Sandro Tonali,,50.0,4,49
2024,Euro,Marco Verratti,,50.0,5,49
2024,Euro,Gianluigi Donnarumma,,50.0,6,49
2024,Euro,Lorenzo Pellegrini,,45.0,7,49
2024,Euro,Jorginho,,35.0,8,49
2024,Euro,Giacomo Raspadori,,35.0,9,49
2024,Euro,Manuel Locatelli,,30.0,10,49
2024,Euro,Nicolò Zaniolo,,30.0,11,49
2024,Euro,Gianluca Scamacca,,30.0,12,49
2024,Euro,Federico Dimarco,,25.0,13,49
2024,Euro,Giovanni Di Lorenzo,,25.0,14,49
2024,Euro,Domenico Berardi,,23.0,15,49
2024,Euro,Ciro Immobile,,23.0,16,49
2024,Euro,Mattia Zaccagni,,22.0,17,49
2024,Euro,Davide Frattesi,,22.0,18,49
2024,Euro,Destiny Udogie,,22.0,19,49
2024,Euro,Moise Kean,,20.0,20,49
2024,Euro,Matteo Politano,,20.0,21,49
2024,Euro,Giorgio Scalvini,,20.0,22,49
2024,Euro,Bryan Cristante,,20.0,23,49
2024,Euro,Alessio Romagnoli,,18.0,24,49
2024,Euro,Gianluca Mancini,,18.0,25,49
2024,Euro,Leonardo Spinazzola,,15.0,26,49
2024,Euro,Manuel Lazzari,,15.0,27,49
2024,Euro,Matteo Pessina,,14.0,28,49
2024,Euro,Alex Meret,,13.0,29,49
2024,Euro,Vincenzo Grifo,,12.0,30,49
2024,Euro,Guglielmo Vicario,,12.0,31,49
2024,Euro,Emerson,,12.0,32,49
2024,Euro,Wilfried Gnonto,,10.0,33,49
2024,Euro,Nicolò Casale,,9.0,34,49
2024,Euro,Rafael Tolói,,8.0,35,49
2024,Euro,Marco Carnesecchi,,8.0,36,49
2024,Euro,Mateo Retegui,,8.0,37,49
2024,Euro,Riccardo Orsolini,,7.5,38,49
2024,Euro,Ivan Provedel,,7.0,39,49
2024,Euro,Andrea Cambiaso,,6.5,40,49
2024,Euro,Cristiano Biraghi,,6.5,41,49
2024,Euro,Federico Gatti,,5.0,42,49
2024,Euro,Stephan El Shaarawy,,5.0,43,49
2024,Euro,Alessandro Buongiorno,,5.0,44,49
2024,Euro,Matteo Darmian,,4.0,45,49
2024,Euro,Leonardo Bonucci,,4.0,46,49
2024,Euro,Francesco Acerbi,,4.0,47,49
2024,Euro,Wladimiro Falcone,,3.5,48,49
2024,Euro,Giacomo Bonaventura,,2.5,49,49
